"","CodigoMateria","DataApresentacao","AnoMateria","Legislatura","class_tematica","TipoIniciativa","Autor","autor_un","Sexo","partido","uf","regiao"
"142",126051,"2016-06-07",2016,"55ª","Empreendimentos Ambientais e Espaços Urbanos","Coletiva","Comissão de Direitos Humanos e Legislação Participativa","Comissão de Direitos Humanos e Legislação Participativa",NA,NA,NA,NA
"143",125086,"2016-03-09",2016,"55ª","Crimes e Infrações Ambientais","Individual","Senador Paulo Paim (PT/RS)","Paulo Paim","M","PT","RS","Sul"
"144",125687,"2016-05-05",2016,"55ª","Conservação da Natureza e Florestas","Individual","Senador Wellington Fagundes (PL/MT)","Wellington Fagundes","M","PL","MT","Centro-Oeste"
"145",124665,"2016-02-02",2016,"55ª","Resíduos Sólidos","Individual","Senadora Ana Amélia (PP/RS)","Ana Amélia","F","PP","RS","Sul"
"146",124972,"2016-03-01",2016,"55ª","Recursos Hídricos","Individual","Senador Jorge Viana (PT/AC)","Jorge Viana","M","PT","AC","Norte"
"147",124805,"2016-02-17",2016,"55ª","Crimes e Infrações Ambientais","Individual","Senador Wilder Morais (PP/GO)","Wilder Morais","M","PP","GO","Centro-Oeste"
"148",127044,"2016-10-04",2016,"55ª","Empreendimentos Ambientais e Espaços Urbanos","Individual","Senador Aécio Neves (PSDB/MG)","Aécio Neves","M","PSDB","MG","Sudeste"
"149",125942,"2016-05-31",2016,"55ª","Conservação da Natureza e Florestas","Individual","Senador Randolfe Rodrigues (REDE/AP)","Randolfe Rodrigues","M","REDE","AP","Norte"
"150",126842,"2016-09-08",2016,"55ª","Política Fundiária e Reforma Agrária","Individual","Senador Acir Gurgacz (PDT/RO)","Acir Gurgacz","M","PDT","RO","Norte"
"151",127088,"2016-10-06",2016,"55ª","Resíduos Sólidos","Individual","Senador Paulo Rocha (PT/PA)","Paulo Rocha","M","PT","PA","Norte"
"152",127240,"2016-10-19",2016,"55ª","Política Fundiária e Reforma Agrária","Individual","Senador José Agripino (DEM/RN)","José Agripino","M","DEM","RN","Nordeste"
"153",127396,"2016-11-07",2016,"55ª","Sustentabilidade e Energias Renováveis","Individual","Senador Raimundo Lira (MDB/PB)","Raimundo Lira","M","MDB","PB","Nordeste"
"154",124747,"2016-02-16",2016,"55ª","Crimes e Infrações Ambientais","Individual","Senador Randolfe Rodrigues (REDE/AP)","Randolfe Rodrigues","M","REDE","AP","Norte"
"155",125968,"2016-05-31",2016,"55ª","Conservação da Natureza e Florestas","Individual","Senador Garibaldi Alves Filho (MDB/RN)","Garibaldi Alves Filho","M","MDB","RN","Nordeste"
"156",125966,"2016-05-31",2016,"55ª","Recursos Hídricos","Individual","Senador Ricardo Ferraço (PSDB/ES)","Ricardo Ferraço","M","PSDB","ES","Sudeste"
"157",126668,"2016-08-11",2016,"55ª","Política Fundiária e Reforma Agrária","Individual","Senador Cidinho Santos (PL/MT)","Cidinho Santos","M","PL","MT","Centro-Oeste"
